id,name,name_eng,category,category_eng,description,description_eng,tag,tag_eng,image,active,featured_order,price_125,price_250,price_500,price_1000,price_shaker,price_unit,discount,is_powder
1,كمون,Cumin,بهارات,Spices,,,,,assets/1.webp,TRUE,3,50,90,180,360,45,,10,TRUE
2,بذر رجله,Purslane Seeds,بهارات,Spices,,,,,assets/2.webp,TRUE,,50,80,160,320,,,0,FALSE
3,فلفل,Black Pepper,بهارات,Spices,,,,,assets/3.webp,TRUE,2,70,120,240,480,60,,10,TRUE
4,دوم,Doum Palm,اعشاب وزيوت طبيعية,Organic Herbs & Oils,,,1,,assets/4.webp,TRUE,,40,60,120,240,,,0,FALSE
5,كزبره,Coriander,بهارات,Spices,,,,,assets/5.webp,TRUE,,30,40,80,160,,,0,TRUE
6,شطه مطحونه,Ground Chili,بهارات,Spices,,,2,,assets/6.webp,TRUE,,40,60,120,240,30,,0,FALSE
7,شطه قرون,Whole Chili Peppers,بهارات,Spices,,,3,,assets/7.webp,TRUE,,40,60,120,240,,,0,FALSE
8,بهرات ٧,Seven Spice Blend,بهارات,Spices,,,,,assets/8.webp,TRUE,,70,120,240,480,55,,0,FALSE
9,بهرات فراخ,Chicken Spice Blend,بهارات,Spices,,,,,assets/9.webp,TRUE,,70,120,240,480,55,,0,FALSE
10,بهرات سمك,Fish Spice Blend,بهارات,Spices,,,,,assets/10.webp,TRUE,,70,120,240,480,,,0,FALSE
11,بهرات كبسه,Kabsa Spice Blend,بهارات,Spices,,,,,assets/11.webp,TRUE,,70,120,240,480,,,0,FALSE
12,بهرات حواوشي,Hawawshi Spice Blend,بهارات,Spices,,,,,assets/12.webp,TRUE,,70,120,240,480,,,0,FALSE
13,كاري,Curry Powder,بهارات,Spices,,,,,assets/13.webp,TRUE,,65,120,240,480,60,,0,TRUE
14,كبابه صيني,Cubeb Pepper,بهارات,Spices,,,,,assets/14.webp,TRUE,,120,200,400,800,,,0,FALSE
15,حبهان,Cardamom,بهارات,Spices,,,,,assets/15.webp,TRUE,,350,700,1400,2800,,,0,TRUE
16,مرقه لحمه,Beef Stock Powder,بهارات,Spices,,,,,assets/16.webp,TRUE,,70,100,180,320,50,,0,FALSE
17,مرقه فراخ,Chicken Stock Powder,بهارات,Spices,,,,,assets/17.webp,TRUE,,70,100,180,320,50,,0,FALSE
18,شرق اقصه,Far East Spice Blend,بهارات,Spices,,,,,assets/18.webp,TRUE,,70,120,240,480,,,0,FALSE
19,محشي,Mahshi Spice Blend,بهارات,Spices,,,,,assets/19.webp,TRUE,,70,120,240,480,,,0,FALSE
20,جوزه طيب,Nutmeg,بهارات,Spices,,,,,assets/20.webp,TRUE,,250,450,900,1800,,10,0,TRUE
21,قرفه مطحون,Ground Cinnamon,بهارات,Spices,,,,,assets/21.webp,TRUE,,70,120,240,480,45,,0,FALSE
22,قرفه سيجار,Cinnamon Sticks,بهارات,Spices,,,,,assets/22.webp,TRUE,,70,120,240,480,,,0,FALSE
23,شطه خشنه,Crushed Chili,بهارات,Spices,,,,,assets/23.webp,TRUE,,70,120,240,480,,,0,FALSE
24,مقوي عام,General Tonic Blend,اعشاب وزيوت طبيعية,Organic Herbs & Oils,,,,,,FALSE,,,,,,,,0,FALSE
25,أعشاب سكر,Diabetes Herbal Blend,اعشاب وزيوت طبيعية,Organic Herbs & Oils,,,,,,FALSE,,187.5,375,750,1500,,,0,FALSE
26,أعشاب أملاح,Salt Balance Herbal Blend,اعشاب وزيوت طبيعية,Organic Herbs & Oils,,,,,,FALSE,,187.5,375,750,1500,,,0,FALSE
